date,wind_v
2023-10-01,-0.3619504696479638
2023-10-02,-0.2102866801230319
2023-10-03,-0.5213720876557271
2023-10-04,-0.6393816463525067
2023-10-05,0.1198037491078564
2023-10-06,0.9310743298116728
2023-10-07,0.5735265428178502
2023-10-08,0.0590985714431264
2023-10-09,-0.6437639427655585
2023-10-10,-1.775552542744137
2023-10-11,0.0067179187438302
2023-10-12,0.5163153076400008
2023-10-13,0.8283997841049594
2023-10-14,-1.529008298726897
2023-10-15,-0.8919355962953197
2023-10-16,-0.3764716983420739
2023-10-17,-2.057983046922928
2023-10-18,-0.9077663815163208
2023-10-19,-0.2968906826205502
2023-10-20,-0.606045435297834
2023-10-21,-0.1057689537281607
2023-10-22,-0.2718017995201562
2023-10-23,-0.1786619235985017
2023-10-24,-0.6908221360394318
2023-10-25,-1.328998571528691
2023-10-26,-0.6414255503538061
2023-10-27,-0.4779611509138758
2023-10-28,-0.4063708822565192
2023-10-29,-0.3164232398145284
2023-10-30,-0.3799036735464232
2023-10-31,-0.6080703143181623
2023-11-01,-1.0776609357825448
2023-11-02,-0.8957749118788535
2023-11-03,0.1126192479405585
2023-11-04,-1.094874992689281
2023-11-05,-0.6084323934957283
2023-11-06,-0.5410552351893781
2023-11-07,-1.004750931682702
2023-11-08,-0.97777823207
2023-11-09,-0.9158249930824994
2023-11-10,-1.0989076826990722
2023-11-11,-0.9451643267474188
2023-11-12,-0.8146264084235446
2023-11-13,-0.7960214175619759
2023-11-14,-1.210936909844061
2023-11-15,-0.7387086077906353
2023-11-16,-0.8723507550583117
2023-11-17,-1.4597112553406784
2023-11-18,-1.1441520102455216
2023-11-19,-1.1485466299422735
2023-11-20,-0.9807950548235588
2023-11-21,-0.6562057240818294
2023-11-22,0.1840041315216043
2023-11-23,-0.1395788328916919
2023-11-24,-1.347497039501769
2023-11-25,-0.511551872224402
2023-11-26,-0.3904346849223801
2023-11-27,-0.6947838315659328
2023-11-28,-0.830446231166477
2023-11-29,-0.4772436481122078
2023-11-30,-0.3818116546381194
2023-12-01,-1.7775818981949305
2023-12-02,-1.1271774558072096
2023-12-03,-0.392125205135652
2023-12-04,-0.7816557400232117
2023-12-05,-1.175525008968203
2023-12-06,-1.5824030955792936
2023-12-07,-0.868506214210001
2023-12-08,-0.5286388920500753
2023-12-09,-1.2557738255588269
2023-12-10,-0.2750304939323202
2023-12-11,0.4875544803759402
2023-12-12,-0.9971521923233148
2023-12-13,-1.3668244028159156
2023-12-14,-0.9707204762119666
2023-12-15,-0.2800132258283972
2023-12-16,-0.9148625094250568
2023-12-17,-0.9756942055119684
2023-12-18,-1.1422122756738144
2023-12-19,-0.8207744960427739
2023-12-20,-0.3311545017937101
2023-12-21,-0.2544024297008869
2023-12-22,-0.2330501017713435
2023-12-23,-0.9755895377506528
2023-12-24,-0.8764610260406434
2023-12-25,-0.4009416813254043
2023-12-26,-0.2495157542745209
2023-12-27,-0.6317197932713662
2023-12-28,0.5343826374077625
2023-12-29,-0.4917941025360876
2023-12-30,-0.3282956022616324
2023-12-31,-0.1222022803649423
