date,so2
2023-10-01,6.87337803403171e-05
2023-10-02,0.0004367756821191
2023-10-03,0.0001860658713064
2023-10-04,0.0001437586777175
2023-10-05,7.328866835830581e-05
2023-10-06,0.0002437833873584
2023-10-07,0.0003648100212918
2023-10-08,6.594666638213862e-05
2023-10-09,-6.798955892694809e-05
2023-10-10,-0.0001143704663231
2023-10-11,9.194826329595876e-05
2023-10-12,0.0001251836439539
2023-10-13,7.293406560143076e-05
2023-10-14,9.579844326459948e-05
2023-10-15,2.389342447790368e-06
2023-10-16,
2023-10-17,-0.0001625610592443
2023-10-18,0.0005734361724156
2023-10-19,8.709721026636526e-05
2023-10-20,6.96622748812615e-05
2023-10-21,0.0001686942882038
2023-10-22,0.0001361946213009
2023-10-23,0.0003749283106319
2023-10-24,5.3564032091898506e-05
2023-10-25,0.0001210082781421
2023-10-26,0.0001784331774172
2023-10-27,0.0001991514909374
2023-10-28,0.0007316963642343
2023-10-29,0.0007338510677483
2023-10-30,1.9335448814326067e-05
2023-10-31,-0.0001055502746546
2023-11-01,8.271088215405284e-05
2023-11-02,-5.022377298529587e-05
2023-11-03,0.0001173990269757
2023-11-04,3.696520571878574e-06
2023-11-05,0.0001191296426224
2023-11-06,1.0262713244045442e-05
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,0.0001904238523361
2023-11-11,0.0003827866454007
2023-11-12,0.0002094612717375
2023-11-13,0.000418922466086
2023-11-14,0.0009318740045576
2023-11-15,0.0003241977928168
2023-11-16,0.0004513659857045
2023-11-17,0.0004082936113362
2023-11-18,0.0002502896776423
2023-11-19,0.0001160808295711
2023-11-20,0.0003858618366309
2023-11-21,0.0001898552487289
2023-11-22,0.0003572037810836
2023-11-23,4.193815647873926e-05
2023-11-24,
2023-11-25,0.0024033509552866
2023-11-26,
2023-11-27,
2023-11-28,0.0005132090869374
2023-11-29,
2023-11-30,
2023-12-01,0.0001354268879764
2023-12-02,0.0001350515303567
2023-12-03,0.0004740191260264
2023-12-04,0.0003174659111386
2023-12-05,0.0012793007953458
2023-12-06,0.0004041307038852
2023-12-07,0.000765834180845
2023-12-08,0.0005336710478246
2023-12-09,0.0005734090423168
2023-12-10,0.00080096155105
2023-12-11,
2023-12-12,0.000690285981362
2023-12-13,0.0003163467506101
2023-12-14,0.0002541953677624
2023-12-15,0.0003672117933875
2023-12-16,
2023-12-17,0.000596751304148
2023-12-18,0.0004694409665575
2023-12-19,0.0005091828333079
2023-12-20,0.0005097326853805
2023-12-21,0.0037492515718188
2023-12-22,0.0010521408868596
2023-12-23,0.0006438123142673
2023-12-24,
2023-12-25,0.0007319258275651
2023-12-26,-0.0008608277263746
2023-12-27,0.0005268248307196
2023-12-28,0.0011605873003048
2023-12-29,0.0007186899646607
2023-12-30,
2023-12-31,
