date,wind_u
2023-10-01,1.5078332887740646
2023-10-02,0.8028923919260247
2023-10-03,1.77537556497329
2023-10-04,1.415769573889515
2023-10-05,1.06466265973056
2023-10-06,-0.9811102747159698
2023-10-07,-1.5767602101831664
2023-10-08,-0.7608031227047367
2023-10-09,-0.8866041656423418
2023-10-10,0.056837318171173
2023-10-11,1.3266346578312145
2023-10-12,-0.3931614249029029
2023-10-13,-1.2484655221267655
2023-10-14,-2.00519851070888
2023-10-15,-0.6315772810921217
2023-10-16,-1.6252333962918215
2023-10-17,-0.7713994306148126
2023-10-18,1.899600267606332
2023-10-19,1.051219360723422
2023-10-20,0.5379725989003595
2023-10-21,0.3139993733619016
2023-10-22,0.4816828250991948
2023-10-23,0.927683582378626
2023-10-24,0.860589237930333
2023-10-25,1.207505202965324
2023-10-26,0.9936330593816634
2023-10-27,0.0593437051669697
2023-10-28,-0.1684834077556616
2023-10-29,-0.4162777637414103
2023-10-30,-0.1904352197663491
2023-10-31,-0.5354316045842809
2023-11-01,0.3431459383962044
2023-11-02,1.3429064732581022
2023-11-03,1.1813198031710426
2023-11-04,0.2224113874712751
2023-11-05,0.0653235184608967
2023-11-06,-0.3734373617503748
2023-11-07,0.6776158623054812
2023-11-08,0.7566300157100849
2023-11-09,-0.0819980506985374
2023-11-10,-1.1839144478698318
2023-11-11,1.3944061263184864
2023-11-12,1.5484222892315087
2023-11-13,0.6903442175495095
2023-11-14,1.007439905853739
2023-11-15,1.0773089508166571
2023-11-16,0.4710034235466432
2023-11-17,1.1253775689084495
2023-11-18,0.9694024459782972
2023-11-19,0.4722563643051633
2023-11-20,1.3451665216847868
2023-11-21,1.9243194463497733
2023-11-22,1.029620361023351
2023-11-23,-1.1940438942924565
2023-11-24,0.788092655870709
2023-11-25,0.2218042390624744
2023-11-26,-1.081256442890935
2023-11-27,-0.974353714998754
2023-11-28,-0.8843282340415399
2023-11-29,-0.0029739145474413
2023-11-30,-1.859248673121847
2023-12-01,1.230518821145402
2023-12-02,0.9839113869545502
2023-12-03,0.3315392155065176
2023-12-04,-0.4589860559249482
2023-12-05,0.5402315140768597
2023-12-06,1.2148095976658495
2023-12-07,1.1113257938911716
2023-12-08,0.6123539212484874
2023-12-09,1.168172307458971
2023-12-10,1.9178696734457703
2023-12-11,-0.6975179806127763
2023-12-12,-0.7592666041666573
2023-12-13,0.5598360119962438
2023-12-14,1.057425827690239
2023-12-15,-0.1040184765000367
2023-12-16,1.0022415645259586
2023-12-17,1.615345573927902
2023-12-18,2.255880423562448
2023-12-19,2.0352305029774755
2023-12-20,1.342826080106607
2023-12-21,0.7175607311090224
2023-12-22,0.0340808163471995
2023-12-23,0.0781228700774555
2023-12-24,1.2846792936414186
2023-12-25,0.5969585037163717
2023-12-26,-0.1753146373665081
2023-12-27,1.2811484110411515
2023-12-28,-0.7287863204589184
2023-12-29,-0.3650479851045656
2023-12-30,0.0002416165997702
2023-12-31,-0.121246236655854
