date,hcho
2023-10-01,0.0001705590413474
2023-10-02,0.0002993526803981
2023-10-03,0.0001836531519305
2023-10-04,0.0002310426316983
2023-10-05,0.0002556955013917
2023-10-06,0.0002773424492893
2023-10-07,0.000216679530013
2023-10-08,0.0001900925696676
2023-10-09,0.0001923913163233
2023-10-10,0.0002593113124244
2023-10-11,0.0001971566159119
2023-10-12,0.0004132399072983
2023-10-13,0.0002631476371457
2023-10-14,0.0001291372809392
2023-10-15,0.0001623206836832
2023-10-16,0.0001576572550856
2023-10-17,0.0001210064974654
2023-10-18,0.0001955692796556
2023-10-19,0.0002514370352226
2023-10-20,0.0003286370665931
2023-10-21,0.0003619161842478
2023-10-22,0.0003157805525004
2023-10-23,0.0002211296630756
2023-10-24,0.0002377772594437
2023-10-25,0.0001511256402349
2023-10-26,0.000214025894959
2023-10-27,0.0003657617011176
2023-10-28,0.0004231288596259
2023-10-29,0.000313285844473
2023-10-30,0.0003187015116775
2023-10-31,0.0003406237984233
2023-11-01,0.000283493973019
2023-11-02,0.0002599173670096
2023-11-03,0.0002521671029621
2023-11-04,0.000373736422115
2023-11-05,0.0003085889579585
2023-11-06,0.0003195574192288
2023-11-07,0.0002953767886943
2023-11-08,0.0002892166273143
2023-11-09,0.0003056548361384
2023-11-10,0.0003573974288776
2023-11-11,0.0001971265990406
2023-11-12,0.0001814349355647
2023-11-13,0.0003251584483864
2023-11-14,0.0002623352899861
2023-11-15,0.000249005779565
2023-11-16,0.000375771249084
2023-11-17,0.0003196737261938
2023-11-18,0.0003021069819894
2023-11-19,0.0002600959711104
2023-11-20,0.0002249574779477
2023-11-21,0.0002621884796429
2023-11-22,0.0002503945568428
2023-11-23,0.000186576370087
2023-11-24,0.000366552183645
2023-11-25,0.0002132005229828
2023-11-26,0.0005535707895796
2023-11-27,
2023-11-28,0.0003856182388854
2023-11-29,0.0003768105597309
2023-11-30,0.0001920594226179
2023-12-01,0.0001110690520301
2023-12-02,0.0001371175681409
2023-12-03,0.0002744799863059
2023-12-04,0.0003215381737172
2023-12-05,0.0002692450301857
2023-12-06,0.0001545243135435
2023-12-07,0.000225603179401
2023-12-08,0.0002367238624062
2023-12-09,0.0003356264395666
2023-12-10,0.0002353801484704
2023-12-11,0.0004040661444356
2023-12-12,0.000239389106864
2023-12-13,0.000279615902186
2023-12-14,0.0002150294389675
2023-12-15,0.0003106160055176
2023-12-16,
2023-12-17,0.0001306358123948
2023-12-18,0.0001624595890658
2023-12-19,0.000202202195274
2023-12-20,0.0003093980798195
2023-12-21,0.0003500118018277
2023-12-22,0.0004054990045627
2023-12-23,0.0003026027230565
2023-12-24,0.0003103877518727
2023-12-25,0.0002397643407843
2023-12-26,0.0002460083175668
2023-12-27,0.0002123235896836
2023-12-28,0.0002637625628845
2023-12-29,0.0001182266168349
2023-12-30,6.402465623674777e-05
2023-12-31,8.880122309428734e-05
