aod,date
0.2923016099119425,2023-10-01
0.3917251029558315,2023-10-02
0.5337705138477176,2023-10-03
0.4867613929648204,2023-10-04
0.4809395639773051,2023-10-05
0.5644929206522347,2023-10-06
0.6131172954709593,2023-10-07
0.9718355953854136,2023-10-08
1.445420697633163,2023-10-09
0.5491796748820322,2023-10-10
0.2401948872052622,2023-10-11
0.5390422195776141,2023-10-12
0.8606330187536053,2023-10-13
1.0491674545605751,2023-10-14
0.4995612390510514,2023-10-15
,2023-10-16
0.3894300295049722,2023-10-17
0.3449439665467597,2023-10-18
0.4478078528621987,2023-10-19
0.5716767494352573,2023-10-20
0.7640657927633728,2023-10-21
0.9347209302325582,2023-10-22
0.4565894074410344,2023-10-23
0.5292282951744142,2023-10-24
0.4247278946432584,2023-10-25
0.435542024246392,2023-10-26
0.7063028122270107,2023-10-27
1.5785821737973789,2023-10-28
2.0940821129754896,2023-10-29
2.237925466253975,2023-10-30
2.0182025720419507,2023-10-31
1.8486709450138428,2023-11-01
1.969107543345357,2023-11-02
2.309237056801178,2023-11-03
1.4077788537026323,2023-11-04
1.0626805859703568,2023-11-05
2.0649063299238755,2023-11-06
2.8120394525673222,2023-11-07
2.369960171378777,2023-11-08
2.657416266653285,2023-11-09
0.7504324566303062,2023-11-10
0.3483859833033345,2023-11-11
0.2981616781845771,2023-11-12
1.090818078808913,2023-11-13
0.6401045419934996,2023-11-14
0.5240977117309055,2023-11-15
0.97624747808989,2023-11-16
0.8225610401025848,2023-11-17
0.558714103818544,2023-11-18
1.252220999191545,2023-11-19
1.0070984144777528,2023-11-20
1.192249655909582,2023-11-21
0.7627223258160949,2023-11-22
2.3111783247453896,2023-11-23
1.4129202922010384,2023-11-24
,2023-11-25
,2023-11-26
,2023-11-27
1.407055095176306,2023-11-28
0.9531116684266102,2023-11-29
1.5391011261093293,2023-11-30
0.7150245185899256,2023-12-01
0.3990421303439641,2023-12-02
0.6196827802867385,2023-12-03
1.0020971192169916,2023-12-04
0.7934448976048408,2023-12-05
0.38030805904067,2023-12-06
0.4734861875505282,2023-12-07
0.5781860783097333,2023-12-08
0.806659379124036,2023-12-09
0.5311081583340416,2023-12-10
0.8286941113062407,2023-12-11
1.218268745014984,2023-12-12
0.8408606411204771,2023-12-13
,2023-12-14
0.7865125591955077,2023-12-15
1.6152551903550976,2023-12-16
0.5677580231998022,2023-12-17
0.5210632379024802,2023-12-18
0.3916197922978007,2023-12-19
0.4018032444877707,2023-12-20
0.8606285643785441,2023-12-21
0.5597575757575758,2023-12-22
1.13262159639867,2023-12-23
,2023-12-24
0.6576416828251211,2023-12-25
0.9968055927069464,2023-12-26
1.405418918918919,2023-12-27
1.4330800685652916,2023-12-28
,2023-12-29
,2023-12-30
,2023-12-31
