date,precip
2023-10-01,4.467606977698324e-07
2023-10-02,0.0
2023-10-03,1.7344801790386557e-06
2023-10-04,0.0
2023-10-05,1.7106532936850272e-06
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,8.584349870943697e-07
2023-10-09,0.0006399035051755
2023-10-10,7.607242712194574e-05
2023-10-11,0.0
2023-10-12,8.52346317969932e-07
2023-10-13,1.7291212657255528e-06
2023-10-14,0.0012204451694459
2023-10-15,0.0008476020075048
2023-10-16,0.0188061346163665
2023-10-17,0.0046388008336263
2023-10-18,2.562998815847095e-06
2023-10-19,1.7225741544280029e-06
2023-10-20,1.7116729509325523e-06
2023-10-21,1.2860662650382435e-06
2023-10-22,0.0023560606797037
2023-10-23,0.0005090177739881
2023-10-24,0.0002149177977765
2023-10-25,4.351138613856165e-07
2023-10-26,1.2874602361989671e-06
2023-10-27,1.7195939676639682e-06
2023-10-28,9.557613545208796e-06
2023-10-29,1.3634439402211276e-06
2023-10-30,0.0003093246828892
2023-10-31,1.2814997489840607e-06
2023-11-01,1.942577958834101e-06
2023-11-02,0.0005059689049316
2023-11-03,0.0003468725979249
2023-11-04,3.4391878216410987e-06
2023-11-05,1.7089405446313322e-06
2023-11-06,1.8414251504634213e-06
2023-11-07,0.0002063161443503
2023-11-08,0.0009661319822821
2023-11-09,0.0027652458572723
2023-11-10,0.0170301201365458
2023-11-11,3.010032742167823e-06
2023-11-12,0.0
2023-11-13,1.727127028061659e-06
2023-11-14,0.0
2023-11-15,8.583068797918258e-07
2023-11-16,1.7265305700675526e-06
2023-11-17,1.7136334236056427e-06
2023-11-18,4.351138045421976e-07
2023-11-19,2.5857789296424016e-06
2023-11-20,8.70227722771233e-07
2023-11-21,4.351138045421976e-07
2023-11-22,1.7225742112714215e-06
2023-11-23,8.583068797918258e-07
2023-11-24,8.523463748133508e-07
2023-11-25,0.0
2023-11-26,1.7225742112714215e-06
2023-11-27,7.705567216005042e-06
2023-11-28,9.517453174204376e-07
2023-11-29,0.0027482559091067
2023-11-30,0.0136713658942586
2023-12-01,1.8242127144547688e-06
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,6.810309882120156e-05
2023-12-05,1.3055200712810105e-06
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,2.5872478772726022e-06
2023-12-09,0.0
2023-12-10,2.5560521521583723e-06
2023-12-11,8.52346317969932e-07
2023-12-12,1.7106532368416083e-06
2023-12-13,8.52346317969932e-07
2023-12-14,8.52346317969932e-07
2023-12-15,1.7106532368416083e-06
2023-12-16,0.0001230052818969
2023-12-17,7.462026976521989e-06
2023-12-18,1.7046928064701206e-06
2023-12-19,0.0
2023-12-20,4.261732051702438e-07
2023-12-21,0.0
2023-12-22,4.689976826762131e-05
2023-12-23,1.7207188459424546e-06
2023-12-24,1.6187104658578282e-06
2023-12-25,8.52346317969932e-07
2023-12-26,2.58088101645626e-06
2023-12-27,8.811193607775185e-07
2023-12-28,3.177365344531548e-05
2023-12-29,0.0001947232841235
2023-12-30,3.856859631697731e-05
2023-12-31,2.495150951650373e-05
