date,t2m
2023-10-01,298.51913816379727
2023-10-02,298.8737256089392
2023-10-03,299.14180843390056
2023-10-04,299.6581772104671
2023-10-05,299.9660085628338
2023-10-06,299.79803810738446
2023-10-07,300.9904229780871
2023-10-08,301.5316348211678
2023-10-09,300.41891559710047
2023-10-10,298.5434334559532
2023-10-11,298.63327335404153
2023-10-12,298.5725017706445
2023-10-13,299.40539884471013
2023-10-14,297.9497866993074
2023-10-15,297.2285644630773
2023-10-16,293.4638624428686
2023-10-17,292.74366084276545
2023-10-18,293.52066349361183
2023-10-19,294.53041949646075
2023-10-20,295.28557536323444
2023-10-21,296.6137279716674
2023-10-22,295.04796096591866
2023-10-23,295.6053647526606
2023-10-24,295.6138316289436
2023-10-25,295.55257540775034
2023-10-26,295.98006156464544
2023-10-27,296.58015353905824
2023-10-28,296.81190721267023
2023-10-29,297.2279501479598
2023-10-30,296.82445029359747
2023-10-31,297.21909021812587
2023-11-01,296.754239648467
2023-11-02,296.1158046855015
2023-11-03,295.64431808978134
2023-11-04,295.4604301168894
2023-11-05,295.0487887027544
2023-11-06,295.29223354274296
2023-11-07,295.3800525136296
2023-11-08,294.57175545664984
2023-11-09,294.2122755028558
2023-11-10,290.78590537404364
2023-11-11,291.5004571097807
2023-11-12,291.42532572946254
2023-11-13,291.6172793036825
2023-11-14,291.501194880844
2023-11-15,292.06194371094193
2023-11-16,291.7225034242789
2023-11-17,291.79502731258225
2023-11-18,291.2648643004019
2023-11-19,291.22169893365566
2023-11-20,290.9823052826292
2023-11-21,290.64340279941246
2023-11-22,290.792814421014
2023-11-23,290.3603929946122
2023-11-24,290.3722651959927
2023-11-25,290.51721789233216
2023-11-26,291.3944336820666
2023-11-27,291.29480839609744
2023-11-28,291.21163011536504
2023-11-29,291.90164245296904
2023-11-30,289.24593323300286
2023-12-01,289.8298254743805
2023-12-02,289.6549062940619
2023-12-03,290.02229514374733
2023-12-04,289.32071021890533
2023-12-05,288.75387206373074
2023-12-06,288.44161555060725
2023-12-07,288.5520337970213
2023-12-08,287.88079037808546
2023-12-09,287.72671004739715
2023-12-10,287.7373612212735
2023-12-11,287.34742543828713
2023-12-12,286.74548455393966
2023-12-13,286.68583862305826
2023-12-14,286.91283194045803
2023-12-15,286.9019608227779
2023-12-16,286.7271170851769
2023-12-17,285.9160666819724
2023-12-18,286.5409149771057
2023-12-19,286.0679131846011
2023-12-20,286.06266358327
2023-12-21,286.3761109056035
2023-12-22,286.2108279102236
2023-12-23,287.7605926885532
2023-12-24,287.01616509990714
2023-12-25,287.8017550728874
2023-12-26,288.0200401959757
2023-12-27,286.773267633045
2023-12-28,285.62134875767856
2023-12-29,284.7163312552247
2023-12-30,284.4563494861468
2023-12-31,283.96328564093693
