date,co
2023-10-01,0.0361498952709881
2023-10-02,0.0400761252317086
2023-10-03,0.0378961360657781
2023-10-04,0.0382923665198552
2023-10-05,0.0388838995114486
2023-10-06,0.041538212230207
2023-10-07,
2023-10-08,0.038901285624858
2023-10-09,0.0434150504697748
2023-10-10,0.0394886819858463
2023-10-11,0.0378682529595866
2023-10-12,0.0445119304558424
2023-10-13,0.0503791838363543
2023-10-14,0.0408769679599385
2023-10-15,0.035707803099932
2023-10-16,0.0344897445181249
2023-10-17,0.034012167029284
2023-10-18,0.036823727556343
2023-10-19,0.0394482610681998
2023-10-20,0.0414059044911157
2023-10-21,0.0413153295654213
2023-10-22,0.0387552772850086
2023-10-23,0.0381548428440604
2023-10-24,0.0388430570465692
2023-10-25,0.0384632086275787
2023-10-26,0.0391983961892861
2023-10-27,0.0457216697241708
2023-10-28,0.041250269890769
2023-10-29,0.0616881639960233
2023-10-30,0.0569971172470918
2023-10-31,0.0619169734039496
2023-11-01,0.0550537820201123
2023-11-02,0.0655762786120722
2023-11-03,0.0549619924645482
2023-11-04,0.0529676261501404
2023-11-05,0.0502714191968041
2023-11-06,0.0533580709735577
2023-11-07,
2023-11-08,0.071347610220992
2023-11-09,0.0697089951490672
2023-11-10,0.0434647806967101
2023-11-11,0.038973921904236
2023-11-12,0.0344491826584462
2023-11-13,0.0425647963518114
2023-11-14,0.0404095551014131
2023-11-15,0.0407328421066551
2023-11-16,0.0480636508204652
2023-11-17,0.0418149646056706
2023-11-18,0.0446181656180941
2023-11-19,0.0461802371186635
2023-11-20,0.0429766415622395
2023-11-21,0.0464158137499774
2023-11-22,0.0405470602342224
2023-11-23,0.0531459801861465
2023-11-24,0.0453458929276805
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,0.0429288638615938
2023-11-29,0.0358957006014723
2023-11-30,0.0455210895383161
2023-12-01,0.0414964200250329
2023-12-02,0.0411789829604832
2023-12-03,0.0430280286018188
2023-12-04,0.0525294729273133
2023-12-05,0.0455996890444512
2023-12-06,0.0384999006829633
2023-12-07,0.0419688851396235
2023-12-08,0.042511426046351
2023-12-09,0.045466524851525
2023-12-10,0.0412940804517806
2023-12-11,0.0500858896196448
2023-12-12,0.0480772400688453
2023-12-13,0.0494577074805293
2023-12-14,0.0451937580847681
2023-12-15,
2023-12-16,0.0390027322370436
2023-12-17,0.045609926317019
2023-12-18,0.0442675183545373
2023-12-19,0.0407210684151687
2023-12-20,0.0396765166462909
2023-12-21,0.0445298712251758
2023-12-22,0.0519801035617344
2023-12-23,0.0455721952465066
2023-12-24,
2023-12-25,0.0426779801523438
2023-12-26,0.0476487591127493
2023-12-27,0.0472109374477502
2023-12-28,0.0499035092319833
2023-12-29,0.0438570573854273
2023-12-30,0.0457442903987954
2023-12-31,0.0351430852170408
