date,y_true,y_pred,smog_season,fold
2020-03-29,39.8,38.301134012979674,0,0
2020-03-30,36.2,45.35789575222134,0,0
2020-04-01,23.3,33.45337814385175,0,0
2020-04-02,16.7,40.76231608641274,0,0
2020-04-03,36.5,42.92056799082593,0,0
2020-04-04,43.8,69.76104025165796,0,0
2020-04-05,55.7,63.73144177203312,0,0
2020-04-06,18.8,34.73559995944743,0,0
2020-04-08,22.5,45.147598357976676,0,0
2020-04-10,20.9,52.15457051570411,0,0
2020-04-11,32.9,41.13323616127445,0,0
2020-04-12,42.3,70.23573591369359,0,0
2020-04-15,57.8,99.1259713302461,0,0
2020-04-16,39.8,82.27745966291332,0,0
2020-04-18,17.8,18.719609041103013,0,0
2020-04-19,26.8,33.26567597227313,0,0
2020-04-20,33.6,56.35008602682592,0,0
2020-04-21,34.1,48.28432031920647,0,0
2020-04-22,91.5,66.22667506749303,0,0
2020-04-23,65.0,83.73042489052295,0,0
2020-04-26,55.0,34.40137933644064,0,0
2020-04-27,17.8,-28.14392365058984,0,0
2020-04-28,34.3,30.16406570862182,0,0
2020-04-29,52.5,68.19971072346743,0,0
2020-04-30,49.5,88.46409722832914,0,0
2020-05-01,93.9,104.02259562484323,0,0
2020-05-04,46.8,52.95368701351572,0,0
2020-05-05,50.1,68.27347479491391,0,0
2020-05-08,74.5,86.47324624640669,0,0
2020-05-15,58.1,12.286497091764886,0,0
2020-05-16,132.0,55.562362692143324,0,0
2020-05-18,68.9,84.55569947578624,0,0
2020-05-19,144.0,74.1541284969735,0,0
2020-05-20,48.5,60.98707920958668,0,0
2020-05-21,70.2,76.19120149359333,0,0
2020-05-22,85.5,116.83079263592253,0,0
2020-05-23,73.4,122.6650088285819,0,0
2020-05-24,67.5,73.09853186067721,0,0
2020-05-25,43.9,112.45440891332646,0,0
2020-05-26,70.5,124.66291398988369,0,0
2020-05-27,37.2,113.91850940517133,0,0
2020-05-28,37.6,40.2030936709898,0,0
2020-05-29,35.5,1.8711078161918522,0,0
2020-05-31,38.2,-16.902286846584502,0,0
2020-06-01,35.0,-14.86515864535022,0,0
2020-06-02,39.0,8.81105917603827,0,0
2020-06-03,58.3,34.0407029687326,0,0
2020-06-04,49.8,58.3692002652856,0,0
2020-06-05,55.0,27.738188238061866,0,0
2020-06-07,79.2,32.2717057090058,0,0
2020-06-08,72.6,41.36673796807736,0,0
2020-06-09,102.0,55.02762906686394,0,0
2020-06-10,85.0,45.37327095805813,0,0
2020-06-11,90.6,54.74496710604353,0,0
2020-06-12,66.7,75.07141025327564,0,0
2020-06-13,62.5,72.33023921637641,0,0
2020-06-14,84.0,78.67263680602991,0,0
2020-06-15,103.0,105.60719029973552,0,0
2020-06-16,78.4,103.95556774527768,0,0
2020-06-17,68.6,99.29281338989267,0,0
2020-06-18,61.6,91.20802517170205,0,0
2020-06-19,61.3,80.95640508695533,0,0
2020-06-20,83.1,78.66365660145993,0,0
2020-06-21,69.2,50.607680068007085,0,0
2020-06-22,41.6,27.771037326065652,0,0
2020-06-23,58.2,48.61403258575183,0,0
2020-06-24,48.5,12.412596739720357,0,0
2020-06-25,44.8,40.90914050577567,0,0
2020-06-26,42.4,43.13480291983433,0,0
2020-06-27,60.5,69.84299511333666,0,0
2020-06-28,56.1,64.10397040764337,0,0
2020-06-29,32.0,28.455407557087256,0,0
2020-06-30,86.6,46.66246681179064,0,0
2020-07-01,67.1,67.22546277389483,0,0
2020-07-02,59.3,76.1930440867718,0,0
2020-07-03,63.1,77.61290512012965,0,0
2020-07-04,49.5,5.122335372341695,0,0
2020-07-08,17.3,24.24524888826454,0,0
2020-07-10,48.9,68.73376464336343,0,0
2020-07-12,16.0,18.128147783939312,0,0
2020-07-13,46.9,43.0329114684796,0,0
2020-07-14,48.0,59.267241117422145,0,0
2020-07-15,40.2,18.374946113685837,0,0
2020-07-17,61.3,41.58720521921077,0,0
2020-07-18,56.2,22.08465430910428,0,0
2020-07-19,33.4,45.17190448839074,0,0
2020-07-20,22.6,20.253827929169802,0,0
2020-07-22,59.5,38.026782187310346,0,0
2020-07-23,65.5,40.88392485898066,0,0
2020-07-24,48.1,26.593787876030547,0,0
2020-07-25,39.1,7.578461696014983,0,0
2020-07-26,31.3,19.696711200674144,0,0
2020-07-27,49.5,64.22424771137594,0,0
2020-07-28,32.7,60.51611254085583,0,0
2020-07-29,28.7,14.064842672431496,0,0
2020-08-03,24.6,52.786812111949075,0,0
2020-08-06,24.2,38.27644979230445,0,0
2020-08-07,14.0,9.192355553749167,0,0
2020-08-09,39.2,61.456288296561524,0,0
2020-08-10,29.3,27.211389687751307,0,0
2020-08-11,66.5,92.05994088002535,0,0
2020-08-12,31.5,55.945292414117375,0,0
2020-08-13,34.9,5.50413491685913,0,0
2020-08-15,22.3,30.756972137004595,0,0
2020-08-16,35.3,62.11817511178606,0,0
2020-08-22,70.1,50.346190380613734,0,0
2020-08-24,14.3,37.92129518111733,0,0
2020-08-25,16.3,20.27936714207317,0,0
2020-08-31,15.4,1.5340496443227494,0,0
2020-09-03,14.4,-6.051198550956087,0,0
2020-09-06,42.6,88.86842070364946,0,0
2020-09-07,81.8,75.59650487458885,0,0
2020-09-08,60.0,91.2051003353522,0,0
2020-09-09,60.4,91.75607013903527,0,0
2020-09-10,68.3,100.8311179962152,0,0
2020-09-11,52.3,101.4353742358253,0,0
2020-09-12,52.8,104.78248445990221,0,0
2020-09-13,57.1,116.51722184750088,0,0
