date,y_true,y_pred,smog_season,fold
2020-09-09,60.4,72.88919,0,0
2020-09-10,68.3,58.359287,0,0
2020-09-11,52.3,66.19725,0,0
2020-09-12,52.8,76.918755,0,0
2020-09-13,57.1,82.29172,0,0
2020-09-14,60.0,80.98676,0,0
2020-09-15,56.2,81.04737,0,0
2020-09-16,54.3,74.71199,0,0
2020-09-17,57.2,81.44273,0,0
2020-09-18,62.6,109.20329,0,0
2020-09-19,60.1,75.36377,0,0
2020-09-20,58.1,70.79357,0,0
2020-09-21,70.6,77.78363,0,0
2020-09-22,79.8,119.85203,0,0
2020-09-23,86.0,103.55485,0,0
2020-09-24,86.2,90.646805,0,0
2020-09-25,77.8,84.68959,0,0
2020-09-26,66.9,73.49654,0,0
2020-09-27,85.4,90.661316,0,0
2020-09-28,135.0,102.176796,0,0
2020-09-29,107.0,79.52913,0,0
2020-09-30,61.1,78.89834,0,0
2020-10-01,120.0,142.98088,1,0
2020-10-02,99.2,136.86668,1,0
2020-10-03,91.3,135.82475,1,0
2020-10-06,101.0,164.81934,1,0
2020-10-07,91.8,179.76619,1,0
2020-10-08,73.4,165.26619,1,0
2020-10-09,118.0,148.2878,1,0
2020-10-10,128.0,141.98987,1,0
2020-10-11,82.5,149.94101,1,0
2020-10-12,127.0,140.34698,1,0
2020-10-13,180.0,227.35974,1,0
2020-10-14,137.0,140.85217,1,0
2020-10-15,133.0,123.49728,1,0
2020-10-16,137.0,147.09253,1,0
2020-10-17,186.0,171.12965,1,0
2020-10-18,124.0,166.7094,1,0
2020-10-19,130.0,168.94637,1,0
2020-10-20,193.0,179.08395,1,0
2020-10-21,240.0,215.79697,1,0
2020-10-22,228.0,195.20264,1,0
2020-10-23,190.0,240.61395,1,0
2020-10-24,198.0,202.493,1,0
2020-10-25,195.0,213.49965,1,0
2020-10-26,122.0,133.51045,1,0
2020-10-27,133.0,128.51219,1,0
2020-10-28,195.0,242.43542,1,0
2020-10-29,259.0,254.19308,1,0
2020-10-30,296.0,202.35153,1,0
2020-10-31,165.0,200.97128,1,0
2020-11-01,160.0,139.53285,1,0
2020-11-02,187.0,177.50905,1,0
2020-11-04,179.0,224.7176,1,0
2020-11-05,311.0,229.61223,1,0
2020-11-06,323.0,231.2624,1,0
2020-11-07,179.0,213.86024,1,0
2020-11-08,217.0,245.11205,1,0
2020-11-09,382.0,260.33743,1,0
2020-11-10,377.0,224.81007,1,0
2020-11-11,392.0,249.44965,1,0
2020-11-12,334.0,262.80963,1,0
2020-11-13,380.0,250.2409,1,0
2020-11-14,441.0,295.2087,1,0
2020-11-15,218.0,201.82828,1,0
2020-11-16,107.0,170.57155,1,0
2020-11-17,91.3,97.168915,1,0
2020-11-18,149.0,121.86818,1,0
2020-11-19,198.0,207.9017,1,0
2020-11-20,196.0,176.51247,1,0
2020-11-21,136.0,152.97467,1,0
2020-11-23,273.0,262.6668,1,0
2020-11-24,110.0,256.9693,1,0
2020-11-25,234.0,179.04132,1,0
2020-11-26,118.0,110.6722,1,0
2020-11-27,92.6,177.4024,1,0
2020-11-28,164.0,190.01003,1,0
2020-11-29,229.0,238.08916,1,0
2020-11-30,327.0,267.83133,1,0
2020-12-01,279.0,283.50378,1,0
2020-12-02,165.0,272.3363,1,0
2020-12-04,294.0,269.58844,1,0
2020-12-06,377.0,289.91046,1,0
2020-12-07,233.0,239.95311,1,0
2020-12-08,223.0,240.52179,1,0
2020-12-09,165.0,255.83658,1,0
2020-12-10,183.0,230.55116,1,0
2020-12-13,67.2,116.808105,1,0
2020-12-14,106.0,180.2222,1,0
2020-12-15,128.0,163.77304,1,0
2020-12-16,154.0,166.65137,1,0
2020-12-17,286.0,223.85417,1,0
2020-12-18,227.0,218.05573,1,0
2020-12-20,253.0,194.632,1,0
2020-12-23,372.0,282.80344,1,0
2020-12-24,402.0,303.94128,1,0
2020-12-25,410.0,271.5494,1,0
2020-12-26,315.0,274.66415,1,0
2020-12-27,122.0,239.83351,1,0
2020-12-28,152.0,219.0364,1,0
2020-12-29,208.0,207.16502,1,0
2020-12-30,308.0,257.6597,1,0
2020-12-31,359.0,220.08827,1,0
2021-01-01,319.0,239.69864,1,0
2021-01-03,178.0,211.27116,1,0
2021-01-04,134.0,197.13342,1,0
2021-01-05,65.8,192.91478,1,0
2021-01-06,66.0,184.58575,1,0
2021-01-07,112.0,160.38054,1,0
2021-01-08,129.0,177.99591,1,0
2021-01-09,177.0,181.13443,1,0
2021-01-10,164.0,191.69203,1,0
2021-01-11,329.0,225.11118,1,0
2021-01-12,249.0,214.09616,1,0
2021-01-13,266.0,227.21927,1,0
2021-01-14,238.0,282.09152,1,0
2021-01-15,338.0,246.28043,1,0
2021-01-16,272.0,255.83057,1,1
2021-01-17,195.0,268.3232,1,1
2021-01-18,238.0,278.5724,1,1
2021-01-19,202.0,222.95892,1,1
2021-01-20,172.0,228.33423,1,1
2021-01-21,210.0,229.5545,1,1
2021-01-22,175.0,229.88614,1,1
2021-01-23,230.0,202.24026,1,1
2021-01-24,170.0,199.77805,1,1
2021-01-25,178.0,212.28227,1,1
2021-01-26,175.0,185.68799,1,1
2021-01-27,208.0,231.40132,1,1
2021-01-28,181.0,237.60356,1,1
2021-01-29,200.0,211.50018,1,1
2021-01-30,164.0,192.23279,1,1
2021-01-31,236.0,259.49487,1,1
2021-02-02,321.0,102.440445,0,1
2021-02-03,219.0,72.96328,0,1
2021-02-04,71.2,45.833466,0,1
2021-02-05,91.5,38.408363,0,1
2021-02-06,175.0,39.673454,0,1
2021-02-07,137.0,74.14198,0,1
2021-02-08,173.0,105.40711,0,1
2021-02-09,219.0,111.806274,0,1
2021-02-10,318.0,102.64437,0,1
2021-02-11,331.0,145.5464,0,1
2021-02-12,335.0,136.31569,0,1
2021-02-13,165.0,112.72875,0,1
2021-02-14,261.0,129.71727,0,1
2021-02-16,379.0,145.72177,0,1
2021-02-17,382.0,144.86252,0,1
2021-02-18,239.0,156.88657,0,1
2021-02-21,276.0,147.55365,0,1
2021-02-22,173.0,139.71916,0,1
2021-02-23,102.0,119.25711,0,1
2021-02-24,213.0,130.21623,0,1
2021-02-25,138.0,146.85362,0,1
2021-02-26,107.0,107.62049,0,1
2021-03-01,82.0,119.00554,0,1
2021-03-02,87.2,103.52996,0,1
2021-03-04,137.0,124.49091,0,1
2021-03-05,104.0,108.242065,0,1
2021-03-06,104.0,92.515976,0,1
2021-03-07,53.4,98.602325,0,1
2021-03-08,58.1,86.988365,0,1
2021-03-10,187.0,119.96816,0,1
2021-03-11,83.7,106.932495,0,1
2021-03-12,44.0,76.49414,0,1
2021-03-13,60.7,99.62903,0,1
2021-03-14,92.2,113.46596,0,1
