date,y_true,y_pred,smog_season,fold
2020-03-11,58.5,60.97387538419916,0,0
2020-03-12,22.3,75.68305674603174,0,0
2020-03-13,30.9,55.965446309523784,0,0
2020-03-14,96.4,52.29962788690475,0,0
2020-03-15,128.0,80.22650357142854,0,0
2020-03-16,101.0,80.32082803571427,0,0
2020-03-17,92.8,101.27482656565662,0,0
2020-03-18,100.0,114.63485079184713,0,0
2020-03-19,113.0,110.78552926587307,0,0
2020-03-20,180.0,101.67750815295813,0,0
2020-03-21,74.4,89.15676605158733,0,0
2020-03-22,181.0,87.53263664682541,0,0
2020-03-24,55.4,66.54142529761901,0,0
2020-03-25,30.3,81.14038952380952,0,0
2020-03-26,32.9,76.8696293452381,0,0
2020-03-27,14.1,61.84105714285713,0,0
2020-03-28,21.4,75.92590192460312,0,0
2020-03-29,39.8,73.61736749999996,0,0
2020-03-30,36.2,78.19960876984119,0,0
2020-03-31,34.8,78.27534162698409,0,0
2020-04-01,23.3,76.08851412698412,0,0
2020-04-02,16.7,77.25234261904755,0,0
2020-04-03,36.5,73.21001325396823,0,0
2020-04-04,43.8,82.32237083333327,0,0
2020-04-05,55.7,86.67388928571422,0,0
2020-04-06,18.8,78.1356045238095,0,0
2020-04-08,22.5,75.54685908730156,0,0
2020-04-09,72.9,82.1400946428571,0,0
2020-04-10,20.9,80.23776948412697,0,0
2020-04-11,32.9,78.284431547619,0,0
2020-04-12,42.3,71.68899043650792,0,0
2020-04-13,66.8,76.4811628571428,0,0
2020-04-14,54.2,69.53579708333334,0,0
2020-04-15,57.8,79.49453942460315,0,0
2020-04-16,39.8,72.66491107142856,0,0
2020-04-17,33.6,75.29812857142855,0,0
2020-04-18,17.8,74.35583428571424,0,0
2020-04-19,26.8,74.56327297619042,0,0
2020-04-20,33.6,77.52020922619042,0,0
2020-04-21,34.1,79.94692103174597,0,0
2020-04-22,91.5,80.14974593253956,0,0
2020-04-23,65.0,76.89040779761898,0,0
2020-04-26,55.0,71.47166910714287,0,0
2020-04-27,17.8,71.18594712301588,0,0
2020-04-28,34.3,85.61226874999993,0,0
2020-04-29,52.5,94.79248799603168,0,0
2020-04-30,49.5,90.34599283730157,0,0
2020-05-01,93.9,93.84832916666664,0,0
2020-05-02,51.3,74.90630873015871,0,0
2020-05-04,46.8,93.30825309523809,0,0
2020-05-05,50.1,93.30796069444445,0,0
2020-05-06,125.0,95.68406192279942,0,0
2020-05-08,74.5,100.46964876984136,0,0
2020-05-13,42.3,102.68705763888887,0,0
2020-05-14,57.9,95.79780102453097,0,0
2020-05-15,58.1,86.04748975468978,0,0
2020-05-16,132.0,89.64282080627702,0,0
2020-05-18,68.9,104.2219316468254,0,0
2020-05-19,144.0,128.40848273809524,0,0
2020-05-20,48.5,106.1006535443723,0,0
2020-05-21,70.2,102.55182164502165,0,0
2020-05-22,85.5,108.4719070310245,0,0
2020-05-23,73.4,98.04582353896099,0,0
2020-05-24,67.5,104.43464136904753,0,0
2020-05-25,43.9,103.18941180555547,0,0
2020-05-26,70.5,106.31898880772003,0,0
2020-05-27,37.2,112.28035515873026,0,0
2020-05-28,37.6,106.04183047577426,0,0
2020-05-29,35.5,74.46018034951163,0,0
2020-05-31,38.2,65.121797432845,0,0
2020-06-01,35.0,67.8794396825397,0,0
2020-06-02,39.0,86.31084374999999,0,0
2020-06-03,58.3,82.49210800865802,0,0
2020-06-04,49.8,77.19991319444439,0,0
2020-06-05,55.0,68.91844375000004,0,0
2020-06-07,79.2,79.97681031746032,0,0
2020-06-08,72.6,75.55624743284494,0,0
2020-06-09,102.0,68.09435892857142,0,0
2020-06-10,85.0,66.42750496031744,0,0
2020-06-11,90.6,70.1810776785714,0,0
2020-06-12,66.7,78.68888789682535,0,0
2020-06-13,62.5,73.83903115079366,0,0
2020-06-14,84.0,77.65519236111113,0,0
2020-06-15,103.0,83.00708212301585,0,0
2020-06-16,78.4,88.85600930555556,0,0
2020-06-17,68.6,90.58613000721503,0,0
2020-06-18,61.6,80.26962722943725,0,0
2020-06-19,61.3,75.05911376984129,0,0
2020-06-20,83.1,85.20052827380958,0,0
2020-06-21,69.2,74.5155588293651,0,0
2020-06-22,41.6,78.13784791666663,0,0
2020-06-23,58.2,91.02114940476196,0,0
2020-06-24,48.5,68.43028610347987,0,0
2020-06-25,44.8,73.90143371031748,0,0
2020-06-26,42.4,76.91514037698416,0,0
2020-06-27,60.5,76.8329498214286,0,0
2020-06-28,56.1,75.84746279761907,0,0
2020-06-29,32.0,63.59425575396825,0,0
2020-06-30,86.6,71.44445208333335,0,0
2020-07-01,67.1,77.29458017857147,0,0
2020-07-02,59.3,75.1645734722222,0,0
2020-07-03,63.1,80.61991744047621,0,0
2020-07-04,49.5,67.67223115079364,0,0
2020-07-08,17.3,60.40229226190474,0,0
2020-07-09,38.5,75.90378184523811,0,0
2020-07-10,48.9,77.46922948412698,0,0
2020-07-12,16.0,64.94199908730162,0,0
2020-07-13,46.9,79.36707857142855,0,0
2020-07-14,48.0,81.59254117063489,0,0
2020-07-15,40.2,64.90557797619046,0,0
2020-07-16,88.3,63.754778869047584,0,0
2020-07-17,61.3,64.81221845238093,0,0
2020-07-18,56.2,63.949704464285716,0,0
2020-07-19,33.4,69.42432480158729,0,0
2020-07-20,22.6,63.721964583333374,0,0
2020-07-21,26.0,46.803375019841276,0,0
2020-07-22,59.5,73.00974940476192,0,0
2020-07-23,65.5,69.87834414682541,0,0
2020-07-24,48.1,64.26759007936502,0,0
2020-07-25,39.1,68.13456755952382,0,0
2020-07-26,31.3,69.55836865079362,0,0
2020-07-27,49.5,80.45521121031743,0,0
2020-07-28,32.7,75.01258244047614,0,0
2020-07-29,28.7,63.35350892857143,0,0
2020-07-30,18.5,63.31258581349206,0,0
2020-08-03,24.6,58.99368531746032,0,0
2020-08-06,24.2,65.45570694444446,0,0
2020-08-07,14.0,64.2023193452381,0,0
2020-08-08,35.7,69.4727021825397,0,0
2020-08-09,39.2,57.50927708333333,0,0
2020-08-10,29.3,51.49917589285717,0,0
2020-08-11,66.5,65.64565565476182,0,0
2020-08-12,31.5,62.28524970238092,0,0
2020-08-13,34.9,54.41848452380953,0,0
2020-08-14,16.4,51.87929345238094,0,0
2020-08-15,22.3,64.05915000000006,0,0
2020-08-16,35.3,63.32921309523811,0,0
2020-08-17,31.4,62.71923214285715,0,0
2020-08-18,44.0,65.25562261904761,0,0
